idRack,abreviation,nomRack,description,largeur,longueur,X0,Y0,zone_idZone
55,T8,"Tiroir Muyen",NULL,110,3,NULL,NULL,1
56,T9,"Tiroir Muyen",NULL,110,3,NULL,NULL,1
57,T10,"Tiroir Muyen",NULL,110,3,NULL,NULL,1
58,P1,"Portoir Muyen",NULL,575,3,NULL,NULL,1
59,P2,"Portoir Muyen",NULL,575,3,NULL,NULL,1
60,B1,"Rack Bleu",NULL,220,5,NULL,NULL,2
61,B2,"Rack Bleu",NULL,220,5,NULL,NULL,2
62,B3,"Rack Bleu",NULL,220,5,NULL,NULL,2
63,B4,"Rack Bleu",NULL,220,5,NULL,NULL,2
64,B5,"Rack Bleu",NULL,220,5,NULL,NULL,2
65,B6,"Rack Bleu",NULL,220,5,NULL,NULL,2
66,B7,"Rack Bleu",NULL,220,5,NULL,NULL,2
67,B8,"Rack Bleu",NULL,220,5,NULL,NULL,2
68,B9,"Rack Bleu",NULL,220,5,NULL,NULL,2
69,B10,"Rack Bleu",NULL,220,5,NULL,NULL,2
70,B11,"Rack Bleu",NULL,220,5,NULL,NULL,2
71,B12,"Rack Bleu",NULL,220,5,NULL,NULL,2
72,B14,"Rack Bleu",NULL,220,5,NULL,NULL,2
73,P4,"Portoir Muyen",NULL,575,3,NULL,NULL,2
74,P5,"Portoir Muyen",NULL,575,3,NULL,NULL,2
75,P6,"Portoir Muyen",NULL,575,3,NULL,NULL,2
76,P7,"Portoir Muyen",NULL,575,3,NULL,NULL,2
77,H1,"Rack Hegla",NULL,155,6,NULL,NULL,2
78,H2,"Rack Hegla",NULL,310,6,NULL,NULL,2
79,H3,"Rack Hegla",NULL,310,6,NULL,NULL,2
80,H4,"Rack Hegla",NULL,310,6,NULL,NULL,2
81,H5,"Rack Hegla",NULL,310,6,NULL,NULL,2
82,H6,"Rack Hegla",NULL,155,6,NULL,NULL,2
83,H7,"Rack Hegla",NULL,155,6,NULL,NULL,2
84,H8,"Rack Hegla",NULL,155,6,NULL,NULL,2
85,H9,"Rack Hegla",NULL,155,6,NULL,NULL,2
86,H10,"Rack Hegla",NULL,155,6,NULL,NULL,2
87,H11,"Rack Hegla",NULL,155,6,NULL,NULL,2
88,H12,"Rack Hegla",NULL,155,6,NULL,NULL,2
89,H13,"Rack Hegla",NULL,155,6,NULL,NULL,2
90,H14,"Rack Hegla",NULL,155,6,NULL,NULL,2
91,H15,"Rack Hegla",NULL,155,6,NULL,NULL,2
92,H16,"Rack Hegla",NULL,155,6,NULL,NULL,2
93,H17,"Rack Hegla",NULL,155,6,NULL,NULL,2
94,H18,"Rack Hegla",NULL,155,6,NULL,NULL,2
95,H19,"Rack Hegla",NULL,155,6,NULL,NULL,2
96,H20,"Rack Hegla",NULL,155,6,NULL,NULL,2
97,H21,"Rack Hegla",NULL,310,6,NULL,NULL,2
98,H22,"Rack Hegla",NULL,310,6,NULL,NULL,2
99,H23,"Rack Hegla",NULL,155,6,NULL,NULL,2
