idZone,abreviation,nomZone,description,largeur,longueur,X0,Y0,usine_idUsine
1,NULL,Scie,NULL,NULL,NULL,NULL,NULL,1
2,NULL,"Coupe Feuillete",NULL,NULL,NULL,NULL,NULL,1
